"","drug_name","contrast_group","raw_index","nci60_match","geo_match","geo_status"
"Adria_0_001","Adria","0","001","SF-539_A",NA,NA
"Adria_0_002","Adria","0","002","SNB-75_A",NA,NA
"Adria_0_003","Adria","0","003","MDA-MB-435_A",NA,NA
"Adria_0_004","Adria","0","004","NCI-H23_A",NA,NA
"Adria_0_005","Adria","0","005","M14_A",NA,NA
"Adria_0_006","Adria","0","006","MALME-3M_A",NA,NA
"Adria_0_007","Adria","0","007","SK-MEL-2_A",NA,NA
"Adria_0_008","Adria","0","008","SK-MEL-28_A",NA,NA
"Adria_0_009","Adria","0","009","SK-MEL-5_A",NA,NA
"Adria_0_010","Adria","0","010","UACC-62_A",NA,NA
"Adria_1_011","Adria","1","011","NCI/ADR-RES_A",NA,NA
"Adria_1_012","Adria","1","012","HCT-15_A",NA,NA
"Adria_1_013","Adria","1","013","HT29_A",NA,NA
"Adria_1_014","Adria","1","014","EKVX_A",NA,NA
"Adria_1_015","Adria","1","015","NCI-H322M_A",NA,NA
"Adria_1_016","Adria","1","016","IGROV1_A",NA,NA
"Adria_1_017","Adria","1","017","OVCAR-3_A",NA,NA
"Adria_1_018","Adria","1","018","OVCAR-4_A",NA,NA
"Adria_1_019","Adria","1","019","OVCAR-5_A",NA,NA
"Adria_1_020","Adria","1","020","OVCAR-8_A",NA,NA
"Adria_1_021","Adria","1","021","SK-OV-3_A",NA,NA
"Adria_1_022","Adria","1","022","CAKI-1_A",NA,NA
"Doce_0_023","Doce","0","023",NA,"GSM4903","Sensitive"
"Doce_0_024","Doce","0","024",NA,"GSM4907","Sensitive"
"Doce_0_025","Doce","0","025",NA,"GSM4908","Sensitive"
"Doce_0_026","Doce","0","026",NA,"GSM4913","Sensitive"
"Doce_0_027","Doce","0","027",NA,"GSM4915","Sensitive"
"Doce_0_028","Doce","0","028",NA,"GSM4917","Sensitive"
"Doce_0_029","Doce","0","029",NA,"GSM4919","Sensitive"
"Doce_0_030","Doce","0","030",NA,"GSM4920","Sensitive"
"Doce_0_031","Doce","0","031",NA,"GSM4921","Sensitive"
"Doce_0_032","Doce","0","032",NA,"GSM4923","Sensitive"
"Doce_1_033","Doce","1","033",NA,"GSM4901","Resistant"
"Doce_1_034","Doce","1","034",NA,"GSM4902","Resistant"
"Doce_1_035","Doce","1","035",NA,"GSM4904","Resistant"
"Doce_1_036","Doce","1","036",NA,"GSM4905","Resistant"
"Doce_1_037","Doce","1","037",NA,"GSM4906","Resistant"
"Doce_1_038","Doce","1","038",NA,"GSM4909","Resistant"
"Doce_1_039","Doce","1","039",NA,"GSM4910","Resistant"
"Doce_1_040","Doce","1","040",NA,"GSM4911","Resistant"
"Doce_1_041","Doce","1","041",NA,"GSM4912","Resistant"
"Doce_1_042","Doce","1","042",NA,"GSM4914","Sensitive"
"Etopo_0_043","Etopo","0","043","SF-539_A",NA,NA
"Etopo_0_044","Etopo","0","044","BT-549_A",NA,NA
"Etopo_0_045","Etopo","0","045","MDA-MB-231/ATCC_A",NA,NA
"Etopo_0_046","Etopo","0","046","NCI/ADR-RES_A",NA,NA
"Etopo_0_047","Etopo","0","047","HOP-62_A",NA,NA
"Etopo_0_048","Etopo","0","048","NCI-H226_A",NA,NA
"Etopo_0_049","Etopo","0","049","SK-MEL-28_A",NA,NA
"Etopo_0_050","Etopo","0","050","UACC-257_A",NA,NA
"Etopo_0_051","Etopo","0","051","786-0_A",NA,NA
"Etopo_1_052","Etopo","1","052","MCF7_A",NA,NA
"Etopo_1_053","Etopo","1","053","HCC-2998_A",NA,NA
